ID,rounds,try,clicks,time_diff
1,r1,1,c1,2.0934250354766846
1,r1,1,c2,1.2765848636627197
1,r1,1,c3,1.9238262176513672
1,r2,1,c1,1.6635470390319824
1,r2,1,c2,1.3464000225067139
1,r2,1,c3,1.3194677829742432
1,r2,1,c4,1.5947341918945313
1,r3,1,c1,2.2639429569244385
1,r3,1,c2,1.2696049213409424
1,r3,1,c3,1.3154780864715576
1,r3,1,c4,1.107064962387085
1,r3,1,c5,1.1698439121246338
1,r4,1,c1,2.3167970180511475
1,r4,1,c2,0.9185850620269775
1,r4,1,c3,1.1409449577331543
1,r4,1,c4,1.09403395652771
1,r4,1,c5,1.0102980136871338
1,r4,1,c6,1.6934869289398193
1,r5,1,c1,2.358731985092163
1,r5,1,c2,0.8965959548950195
1,r5,1,c3,1.3746631145477295
1,r5,1,c4,1.2376470565795898
1,r5,1,c5,1.317497968673706
1,r5,1,c6,0.8915920257568359
1,r5,2,c1,1.0407581329345703
2,r1,1,c1,2.118333101272583
2,r1,1,c2,1.0491909980773926
2,r1,1,c3,1.148926019668579
2,r2,1,c1,2.3687479496002197
2,r2,1,c2,0.9454710483551025
2,r2,1,c3,0.99819183349609375
2,r2,1,c4,1.2915000915527344
2,r3,1,c1,1.679305076599121
2,r3,1,c2,0.9921460151672363
2,r3,1,c3,1.1384389400482178
2,r3,1,c4,1.243994951248169
2,r3,1,c5,0.9861471652984619
2,r4,1,c1,2.683889865875244
2,r4,1,c2,1.056171178817749
2,r4,1,c3,0.9863638877868652
2,r4,1,c4,1.0811309814453125
2,r4,1,c5,1.5657861232757568
2,r4,1,c6,1.1579279899597168
2,r5,1,c1,2.669858932495117
2,r5,1,c2,1.2098000049591064
2,r5,1,c3,1.0222280025482178
2,r5,1,c4,1.220736026763916
2,r5,1,c5,1.1878178119659424
2,r5,1,c6,1.4142541885375977
2,r5,1,c7,1.4071979522705078
2,r6,1,c1,2.7133359909057617
2,r6,1,c2,1.1250150203704834
2,r6,1,c3,0.9065768718719482
2,r6,1,c4,0.9793519973754883
2,r6,1,c5,0.975297212600708
2,r6,1,c6,1.1169469356536865
2,r6,1,c7,1.1657228469848633
2,r6,1,c8,1.0463871955871582
2,r7,1,c1,2.1470251083374023
2,r7,1,c2,1.185581922531128
2,r7,1,c3,0.9772329330444336
2,r7,1,c4,1.1648781299591064
2,r7,1,c5,1.1224939823150635
2,r7,1,c6,1.2324869632720947
2,r7,1,c7,1.0414371490478516
2,r7,1,c8,1.3750889301300049
2,r7,1,c9,1.459238052368164
2,r8,1,c1,2.332869052886963
2,r8,1,c2,0.9423799514770508
2,r8,2,c1,2.111405849456787
3,r1,1,c1,1.3184139728546143
3,r1,1,c2,1.3788070678710937
3,r1,1,c3,1.4088211059570312
3,r2,1,c1,1.8471128940582275
3,r2,1,c2,1.1625709533691406
3,r2,1,c3,1.0507781505584717
3,r2,1,c4,1.236344814300537
3,r3,1,c1,5.745920896530151
3,r3,1,c2,1.4465351104736328
3,r3,1,c3,1.4386980533599854
3,r3,1,c4,1.2823410034179687
3,r3,1,c5,1.4990599155426025
3,r4,1,c1,1.4152719974517822
3,r4,1,c2,1.1794350147247314
3,r4,1,c3,1.3722870349884033
3,r4,1,c4,1.231313943862915
3,r4,1,c5,1.2234959602355957
3,r4,1,c6,1.4124400615692139
3,r5,1,c1,2.6772232055664062
3,r5,1,c2,1.1596629619598389
3,r5,1,c3,1.1496198177337646
3,r5,1,c4,1.6499221324920654
3,r5,1,c5,1.4329020977020264
3,r5,1,c6,1.453859806060791
3,r5,1,c7,1.26808500289917
3,r6,1,c1,2.025320053100586
3,r6,1,c2,1.6840879917144775
3,r6,1,c3,1.3839330673217773
3,r6,1,c4,1.184485912322998
3,r6,1,c5,1.4407050609588623
3,r6,1,c6,1.5036489963531494
3,r6,1,c7,1.2627530097961426
3,r6,1,c8,1.424778938293457
3,r7,1,c1,1.6648170948028564
3,r7,1,c2,1.080557107925415
3,r7,1,c3,1.136192798614502
3,r7,1,c4,1.1314539909362793
3,r7,1,c5,1.1841511726379395
3,r7,1,c6,2.3209948539733887
3,r7,2,c1,2.258068084716797
3,r7,2,c2,1.194098949432373
3,r7,2,c3,1.3847589492797852
3,r7,2,c4,1.2275080680847168
3,r7,2,c5,1.4000749588012695
3,r7,2,c6,1.467320203781128
3,r7,2,c7,2.9691219329833984
3,r7,2,c8,2.955764055252075
4,r1,1,c1,1.81516695022583
4,r1,1,c2,0.9853789806365967
4,r1,1,c3,0.9244871139526367
4,r2,1,c1,1.799957036972046
